CATEGORY,SCHOOL NAME,SCHOOL_NUMBER,ADDRESS,CITY,ZIP CODE,PHONE,URL,LONGITUDE,LATITUDE,LOCATION,Enrollment,Percent_Female,Percent_Male,Race_AM,Race_AS,Race_BL,Race_HI,Race_PI,Race_WH,Race_MU,PortableClassrooms
ELEMENTARY SCHOOLS,Arcola ES,790,1820 Franwall Ave,Silver Spring,20902,301-649-8590,http://www.montgomeryschoolsmd.org/schools/arcolaes,-77.0393882,39.04555887,"1820 Franwall Ave
Silver Spring, MD 20902
(39.0455588679, -77.0393881959)",725,47.4,52.6,²5.0,7.9,18.2,69.1,²5.0,²5.0,²5.0,6
ELEMENTARY SCHOOLS,Ashburton ES,425,6314 Lone Oak Dr,Bethesda,20817,301-571-6959,http://www.montgomeryschoolsmd.org/schools/ashburtones,-77.12772122,39.01944426,"6314 Lone Oak Dr
Bethesda, MD 20817
(39.0194442555, -77.1277212211)",899,49.8,50.2,²5.0,15.5,14.1,13.6,²5.0,47.6,9,8
ELEMENTARY SCHOOLS,Bannockburn ES,420,6520 Dalroy La,Bethesda,20817,301-320-6555,http://www.montgomeryschoolsmd.org/schools/bannockburnes,-77.13833399,38.97437501,"6520 Dalroy La
Bethesda, MD 20817
(38.974375007, -77.1383339932)",407,48.2,51.8,²5.0,11.5,²5.0,9.1,²5.0,66.8,9.6,2
ELEMENTARY SCHOOLS,Beall ES,207,451 Beall Ave,Rockville,20850,301-279-8460,http://www.montgomeryschoolsmd.org/schools/bealles,-77.16175837,39.08777539,"451 Beall Ave
Rockville, MD 20850
(39.0877753931, -77.161758368)",800,45,55,²5.0,21.6,13.9,22.3,²5.0,34.6,7.5,8
ELEMENTARY SCHOOLS,Bel Pre ES,780,13801 Rippling Brook Dr,Silver Spring,20906,301-460-2145,http://www.montgomeryschoolsmd.org/schools/belprees,-77.05472387,39.08160427,"13801 Rippling Brook Dr
Silver Spring, MD 20906
(39.0816042674, -77.0547238659)",545,46.1,53.9,²5.0,6.1,42.9,40.4,²5.0,6.2,²5.0,0
ELEMENTARY SCHOOLS,Bells Mill ES,607,8225 Bells Mill Rd,Potomac,20854,301-469-1046,http://www.montgomeryschoolsmd.org/schools/bellsmilles,-77.16874009,39.03201191,"8225 Bells Mill Rd
Potomac, MD 20854
(39.0320119149, -77.1687400874)",611,49.8,50.2,²5.0,25.4,11.1,8.2,²5.0,49.1,6.1,0
ELEMENTARY SCHOOLS,Belmont ES,513,19528 Olney Mill Rd,Olney,20832,301-924-3140,http://www.montgomeryschoolsmd.org/schools/belmontes,-77.0668029,39.17858147,"19528 Olney Mill Rd
Olney, MD 20832
(39.1785814737, -77.0668029032)",309,52.4,47.6,²5.0,6.1,5.5,10.7,²5.0,74.8,²5.0,1
ELEMENTARY SCHOOLS,Bethesda ES,401,7600 Arlington Rd,Bethesda,20814,301-657-4979,http://www.montgomeryschoolsmd.org/schools/bethesdaes,-77.09986452,38.98645954,"7600 Arlington Rd
Bethesda, MD 20814
(38.9864595389, -77.0998645245)",519,46.2,53.8,²5.0,14.8,7.5,9.1,²5.0,61.3,7.3,5
ELEMENTARY SCHOOLS,Beverly Farms ES (at North Lake Center),226,15101 Bauer Dr,Rockville,20853,301-469-1050,http://www.montgomeryschoolsmd.org/schools/beverlyfarmses,-77.10400712,39.10273139,"15101 Bauer Dr
Rockville, MD 20853
(39.1027313861, -77.1040071157)",614,50.5,49.5,²5.0,28.8,6.7,8.5,²5.0,49.2,6.7,0
ELEMENTARY SCHOOLS,Beverly Farms ES (Construction),,8501 Post Oak Rd,Potomac,20854,301-469-1050,http://www.montgomeryschoolsmd.org/schools/beverlyfarmses,-77.17633224,39.05214526,"8501 Post Oak Rd
Potomac, MD 20854
(39.052145262, -77.1763322374)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Bradley Hills ES,410,8701 Hartsdale Ave,Bethesda,20817,301-571-6966,http://www.montgomeryschoolsmd.org/schools/bradleyhillses,-77.11806165,38.9996853,"8701 Hartsdale Ave
Bethesda, MD 20817
(38.9996852991, -77.118061653)",632,49.2,50.8,²5.0,10.3,²5.0,9.7,²5.0,67.4,10.9,0
ELEMENTARY SCHOOLS,Broad Acres ES,,710 Beacon Rd,Silver Spring,20903,301-431-7616,http://www.montgomeryschoolsmd.org/schools/broadacreses,-76.98518844,39.00935945,"710 Beacon Rd
Silver Spring, MD 20903
(39.0093594505, -76.9851884399)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Brooke Grove ES,518,2700 Spartan Rd,Olney,20832,301-924-3154,http://www.montgomeryschoolsmd.org/schools/brookegrovees,-77.05057204,39.15684382,"2700 Spartan Rd
Olney, MD 20832
(39.1568438213, -77.0505720393)",402,46.8,53.2,²5.0,17.2,17.9,16.9,²5.0,45.3,²5.0,0
ELEMENTARY SCHOOLS,Brookhaven ES,807,4610 Renn St,Rockville,20853,301-460-2140,http://www.montgomeryschoolsmd.org/schools/brookhavenes,-77.09259801,39.08225099,"4610 Renn St
Rockville, MD 20853
(39.0822509877, -77.0925980063)",451,41.5,58.5,²5.0,8,36.1,44.1,²5.0,8.2,²5.0,0
ELEMENTARY SCHOOLS,Brown Station ES,559,851 Quince Orchard Blv,Gaithersburg,20878,301-840-7172,http://www.montgomeryschoolsmd.org/schools/brownstationes,-77.23071273,39.13888301,"851 Quince Orchard Blv
Gaithersburg, MD 20878
(39.1388830108, -77.2307127305)",502,49.8,50.2,²5.0,7.2,35.1,43.6,²5.0,8.8,5.2,6
